name;img_local_url;store
Сыр творожный Almette с огурцами и зеленью 60% БЗМЖ 150г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр творожный Almette с огурцами и зеленью 60% БЗМЖ 150г.jpeg;Пятерочка
Сыр плавленый Hochland Сэндвич ломтики 45% БЗМЖ 150г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр плавленый Hochland Сэндвич ломтики 45% БЗМЖ 150г.jpeg;Пятерочка
Сыр Радость вкуса Топленочка с фенугреком 45% БЗМЖ 180г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Радость вкуса Топленочка с фенугреком 45% БЗМЖ 180г.jpeg;Пятерочка
Сыр Viola Маасдам полутвердый 45% БЗМЖ 180г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Viola Маасдам полутвердый 45% БЗМЖ 180г.jpeg;Пятерочка
Сыр Pretto Моцарелла для бутербродов 45% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Pretto Моцарелла для бутербродов 45% БЗМЖ 200г.jpeg;Пятерочка
Сыр творожный Viola Сливочный 70% БЗМЖ 140г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр творожный Viola Сливочный 70% БЗМЖ 140г.jpeg;Пятерочка
Сыр President Чечил белый спагетти 35% БЗМЖ 100г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр President Чечил белый спагетти 35% БЗМЖ 100г.jpeg;Пятерочка
Сыр Карат Шоколадно-Ореховый десертный плавленный 30% БЗМЖ 230г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Карат Шоколадно-Ореховый десертный плавленный 30% БЗМЖ 230г.jpeg;Пятерочка
Сыр Сыробогатов Дружба плавленый 50% БЗМЖ 80г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Сыробогатов Дружба плавленый 50% БЗМЖ 80г.jpeg;Пятерочка
Сыр Viola Российское избранное Сливочный Белые грибы, Ветчина плавленый 45% БЗМЖ 130г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Viola Российское избранное Сливочный Белые грибы, Ветчина плавленый 45% БЗМЖ 130г.jpeg;Пятерочка
Сыр Hochland Гриль Чиз плавленый ломтики 40% БЗМЖ 150г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Hochland Гриль Чиз плавленый ломтики 40% БЗМЖ 150г.jpeg;Пятерочка
Сыр  Истринская сыроварня Олега Сироты Истринский 50% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр  Истринская сыроварня Олега Сироты Истринский 50% БЗМЖ.jpeg;Пятерочка
Сыр Hochland Сырная классика со швейцарским сыром плавленый 50% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Hochland Сырная классика со швейцарским сыром плавленый 50% БЗМЖ 200г.jpeg;Пятерочка
Сыр Natura Selection Matured Havarti выдержанный нарезка 45% БЗМЖ 150г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Natura Selection Matured Havarti выдержанный нарезка 45% БЗМЖ 150г.jpeg;Пятерочка
